angDist,_RAJ2000,_DEJ2000,recno,ASAS,Per,Vmax,Vamp,Class,GCVS,LC,_RA,_DE,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff,B_Teff,logg,b_logg,B_logg,[Fe/H],b_[Fe/H],B_[Fe/H],Dist,b_Dist,B_Dist,A0,b_A0,B_A0,AG,b_AG,B_AG,E(BP-RP),b_E(BP-RP),B_E(BP-RP),Lib,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000
0.877144,222.66384,-42.8012,17908,145039-4248.1,104.602509,11.67,0.38,MISC/SR,,LC,222.6638,-42.8012,Gaia DR3 6100591888212689280,222.66384097568,-42.80144365000,0.000,0.000,77,1636148068921376768,6100591888212689280,419203637,0.0297,0.0239,0.2611,0.0314,8.3049,11.409,-5.085,0.039,-10.213,0.033,0.1085,-0.2015,-0.1968,-0.2447,-0.0358,-0.1999,0.1000,-0.0153,0.3075,0.0865,191,191,191,0,7.4734,1.3141e+03,0.217,4.8460e+01,31,0,1.272,,,,,,,,22,15,0.054672,25,4.979e-02,6.124e+00,0,0,1.410,0,208,1220910.24102,4.67429e+03,2.61197e+02,10.470657,0.004987,25,2.23759e+05,4.42571e+03,5.05589e+01,11.964091,0.021655,25,1.54381e+06,1.37796e+04,1.12036e+02,9.276413,0.010402,1.448,0,0,0,0,0,2.687678,1.493434,1.194244,-19.36,0.44,1,8,4,7,9.9560e+01,4.9104e+00,0.000000,623.148,2.91,3700.0,1.0,0.00,440,,,,8.747828,0.016869,3,,VARIABLE,0.000000,0.000000,0.999739,3663.9,3661.4,3667.9,0.5438,0.5278,0.5676,0.6594,0.6446,0.6807,7500.3379,7232.2104,7705.7402,0.8457,0.8322,0.8606,0.5442,0.5353,0.5540,0.3352,0.3300,0.3407,MARCS,222.66387178055,-42.80139825923,0.623367,0.525006,0.1069
0.986019,222.82107,-11.16174,17921,145117-1109.7,0.695516,11.34,0.28,EC,KQ Lib,LC,222.8211,-11.1617,Gaia DR3 6325466347074845696,222.82122506547,-11.16196775807,0.000,0.000,146,1636148068921376768,6325466347074845696,1721080258,0.0185,0.0209,1.6427,0.0245,66.9149,8.462,8.420,0.027,0.844,0.029,-0.3101,0.1850,0.1531,-0.3750,-0.6212,-0.5110,0.6163,0.3430,-0.5286,-0.5752,146,146,146,0,-2.0854,4.2902e+02,0.097,1.3842e+01,31,1,1.584,,,,,,,,17,11,0.052328,20,2.050e-02,9.957e+00,0,0,0.876,0,162,566838.81810,2.98995e+03,1.89581e+02,11.303718,0.006355,19,3.23232e+05,5.10521e+03,6.33141e+01,11.564756,0.017374,19,3.59658e+05,5.65323e+03,6.36199e+01,10.858171,0.017479,1.205,0,0,0,0,0,0.706585,0.261039,0.445546,-4.60,6.16,1,11,2,9,3.8105e+01,5.8422e+00,0.000000,799.137,50.31,7750.0,5.0,0.50,555,156.4566,40.5122,9,10.647226,0.030459,9,4.169495e+01,VARIABLE,0.000000,0.000000,0.999901,6307.8,6260.6,6358.4,3.7518,3.7372,3.7677,-0.3485,-0.3920,-0.3054,587.0597,579.8124,595.8772,0.2078,0.1815,0.2369,0.1792,0.1563,0.2045,0.0968,0.0845,0.1106,MARCS,222.82118692112,-11.16197150839,0.437520,0.451881,-0.5551
0.729230,222.854167,-12.358333,17925,145125-1221.5,305.054321,11.63,0.82,MISC/SR,,,222.8542,-12.3583,Gaia DR3 6313222597903418880,222.85396385005,-12.35837365334,0.001,0.001,71,1636148068921376768,6313222597903418880,1037247215,0.7708,0.5585,0.3006,0.8012,0.3751,17.701,2.831,1.437,17.473,0.904,0.2536,-0.1185,0.0689,0.0478,-0.1617,0.2081,-0.0602,-0.4565,0.1680,0.3112,109,0,107,2,1.0387,1.3329e+02,1.673,1.3535e+00,95,0,,1.1055,0.2293,0.241,0.001,0.039,-0.172,-0.296,13,10,2.059160,15,8.579e-02,1.088e+02,4,6,1.071,0,114,190.33203,1.33593e+00,1.42471e+02,19.988586,0.008104,4,2.00272e+01,9.39806e+00,2.13100e+00,22.084492,0.509505,4,2.59722e+02,8.09943e+01,3.20667e+00,18.711624,0.338608,1.470,0,0,0,0,2,3.372868,2.095905,1.276962,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.000009,0.000000,0.999989,,,,,,,,,,,,,,,,,,,,,,,222.85395096742,-12.35845131301,22.945950,14.511778,0.3015
0.762775,222.941505,-35.1936,17930,145146-3511.6,0.665768,10.53,0.26,EC/ESD,,LC,222.9415,-35.1936,Gaia DR3 6202434122666983296,222.94164542950,-35.19377811253,0.000,0.000,135,1636148068921376768,6202434122666983296,426363334,0.0204,0.0205,1.8955,0.0264,71.8868,17.870,12.005,0.027,-13.237,0.028,-0.3055,0.0058,-0.3409,0.2348,-0.3990,0.2778,-0.2269,-0.2270,0.3318,-0.4800,135,135,131,4,1.4134,3.8309e+02,0.110,9.8012e+00,31,1,1.640,,,,,,,,15,11,0.047823,20,1.087e-02,1.391e+02,0,0,1.088,0,158,1127598.46542,7.39278e+03,1.52527e+02,10.556981,0.007633,19,7.05502e+05,1.32631e+04,5.31927e+01,10.717297,0.020601,18,6.29864e+05,1.26370e+04,4.98427e+01,10.249778,0.022109,1.184,0,0,0,0,0,0.467519,0.160316,0.307203,15.43,8.57,1,7,2,7,4.0167e+01,4.9576e+00,0.000009,800.135,43.21,7750.0,4.5,0.25,555,,,,10.140593,0.048450,4,,NOT_AVAILABLE,0.000000,0.000000,0.999842,7413.2,7403.4,7432.9,3.8676,3.8524,3.8803,-0.5846,-0.6768,-0.4944,519.6334,512.5805,527.0824,0.2505,0.2440,0.2602,0.2258,0.2199,0.2347,0.1212,0.1180,0.1260,MARCS,222.94158014061,-35.19371928289,0.442152,0.450163,-0.4905
0.851100,223.154167,-50.693333,17948,145237-5041.6,102.040817,8.75,0.23,MISC/SR,,,223.1542,-50.6933,Gaia DR3 5901295651825473408,223.15441427088,-50.69315592084,0.093,0.006,129,1636148068921376768,5901295651825473408,3820636,71.8767,59.0547,,,,,,,,,-0.9915,,,,,,,,,,39,0,38,1,19.3378,5.6682e+02,13.923,5.7514e+01,3,0,,,,,,,,,5,3,2955.581787,6,3.591e+01,1.341e+02,0,16,,0,26,389.72107,2.07930e+01,1.87429e+01,19.210482,0.057993,0,,,,,,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,223.15441427088,-50.69315592084,71.876730,59.054710,-0.9915
0.963277,223.154167,-50.693333,17948,145237-5041.6,102.040817,8.75,0.23,MISC/SR,,,223.1542,-50.6933,Gaia DR3 5901295548750182016,223.15379927979,-50.69346466792,0.096,0.035,133,1636148068921376768,5901295548750182016,1725427435,74.0090,70.0442,,,,,,,,,-0.7604,,,,,,,,,,43,0,42,1,17.0572,4.5958e+02,13.555,4.8095e+01,3,0,,,,,,,,,5,1,21022.611328,6,2.441e+01,4.386e+01,0,16,,0,0,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,223.15379927979,-50.69346466792,74.008970,70.044200,-0.7604
0.705701,223.233975,-43.02994,17953,145256-4301.8,196.963608,11.11,0.27,MISC,,LC,223.234,-43.0299,Gaia DR3 6100711807992069248,223.23416194224,-43.03008054413,0.000,0.000,141,1636148068921376768,6100711807992069248,926617354,0.0164,0.0182,0.1667,0.0264,6.3208,11.971,-10.061,0.028,-6.486,0.024,-0.4728,0.1384,-0.0599,-0.0910,-0.2460,0.0511,0.2228,-0.3112,0.0416,-0.2174,277,277,272,5,3.6880,9.8465e+02,0.138,2.7303e+01,31,0,1.308,,,,,,,,31,14,0.040752,36,1.673e-02,1.120e+02,0,0,1.162,1,311,1512871.95818,2.65580e+03,5.69648e+02,10.237862,0.003350,31,3.58777e+05,2.00347e+03,1.79078e+02,11.451479,0.006674,35,1.73132e+06,7.40825e+03,2.33702e+02,9.151951,0.005989,1.382,0,0,0,0,0,2.299528,1.213617,1.085911,-31.06,5.49,1,12,6,10,1.1816e+02,9.0270e+01,0.000000,926.780,35.99,4000.0,1.5,0.00,440,,,,8.677381,0.013692,5,1.264322e+02,VARIABLE,0.000000,0.000000,0.999832,,,,,,,,,,,,,,,,,,,,,,,223.23422311427,-43.03005171737,0.447273,0.378636,-0.2188
0.618717,223.25,-56.673333,17956,145300-5640.4,101.91449,11.59,0.35,MISC/SR,,,223.25,-56.6733,Gaia DR3 5881052268360926336,223.25031280116,-56.67333122166,0.000,0.000,18,1636148068921376768,5881052268360926336,506300769,0.3833,0.4716,0.0411,0.5245,0.0783,7.407,-5.952,0.638,-4.408,1.016,0.1506,-0.0031,0.6100,0.0470,0.2391,0.0775,0.6472,0.0501,0.5374,0.0911,176,0,176,0,-0.6712,1.6354e+02,0.000,0.0000e+00,95,0,,1.4548,0.0996,0.049,-0.019,-0.085,0.019,-0.079,21,11,1.456467,22,1.852e-02,8.253e+00,5,4,0.962,0,173,329.67049,3.35506e+00,9.82607e+01,19.392166,0.011388,2,1.62835e+02,4.32385e+01,3.76598e+00,19.809170,0.288315,2,3.73250e+03,1.94125e+03,1.92273e+00,15.817896,0.564696,11.816,0,1,0,1,0,3.991274,0.417004,3.574270,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.000000,0.000000,0.999966,,,,,,,,,,,,,,,,,,,,,,,223.25036095251,-56.67331163030,9.984797,15.949566,0.0909
0.881032,223.36737,-55.19653,17967,145328-5511.8,319.596893,11.81,0.46,MISC/SR,,LC,223.3674,-55.1965,Gaia DR3 5893576702272210304,223.36725095871,-55.19676511028,0.000,0.000,148,1636148068921376768,5893576702272210304,88473641,0.0280,0.0316,0.5432,0.0414,13.1048,12.262,-11.567,0.040,-4.067,0.045,-0.2472,-0.0275,-0.1476,-0.0942,-0.0194,-0.0751,0.2091,-0.2003,0.1304,-0.2811,436,436,436,0,2.0067,7.3733e+03,0.397,2.0651e+02,95,0,,1.2299,0.0077,-0.019,0.084,-0.053,0.151,-0.048,49,21,0.068116,54,4.467e-02,7.557e+01,4,0,1.068,0,452,1138414.70385,5.25474e+03,2.16645e+02,10.546616,0.005719,50,1.73627e+05,4.44560e+03,3.90559e+01,12.239499,0.027939,50,1.47630e+06,1.51014e+04,9.77592e+01,9.324961,0.011732,1.449,0,0,0,0,0,2.914538,1.692883,1.221655,-59.21,0.52,1,14,5,9,1.3060e+02,1.2904e+01,0.000000,601.995,4.47,4000.0,3.0,0.00,333,10.3457,2.5543,7,8.772953,0.031467,7,,VARIABLE,0.000000,0.000000,0.999949,3700.7,3635.3,3763.2,0.7851,0.6662,0.9190,-0.0688,-0.0698,-0.0666,1762.7542,1479.7324,2102.9285,2.3140,1.9273,2.5940,1.5064,1.2419,1.7017,0.8566,0.7260,0.9499,MARCS,223.36734103212,-55.19674703379,0.639333,0.721634,-0.2744
0.843190,223.470833,-69.255,17971,145353-6915.3,281.0,13.11,2.21,MIRA,AM Cir,,223.4708,-69.255,Gaia DR3 5799760082324724224,223.47027017349,-69.25487705814,0.005,0.003,73,1636148068921376768,5799760082324724224,1659095249,4.8859,2.8784,,,,,,,,,0.3659,,,,,,,,,,40,0,40,0,1.3733,4.6977e+01,4.616,9.5631e-01,3,0,,,,,,,,,5,4,148.100281,6,1.043e-01,1.706e+02,0,33,,0,41,81.82581,1.80864e+00,4.52415e+01,20.905142,0.024156,0,,,,,,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,223.47027017349,-69.25487705814,4.885853,2.878375,0.3659
